Species,Water,CNMs,Dimension,Shape,Length,Diameter,Thickness,Medium,RPM,Modification,Dispersant,Duration,LightI,Temperature,LightD,Conc.,N,Chlorophyll
5,0,2,2,2,2750,2750,1,3,NA,6,0,96,NA,24,24,0.1,64800,91.84193754
3,0,3,1,3,12500,15,15,3,NA,4,0,24,NA,25,14,0.1,780000,91.91759113
6,1,2,2,2,3000,3000,1,5,0,6,0,96,6000,23,14,0.2,898466257.7,92.06821337
6,1,2,2,2,3000,3000,1,5,0,6,0,72,6000,23,14,0.1,898466257.7,92.07409003
0,0,3,1,3,NA,NA,NA,4,0,4,0,96,4000,20,12,5,1.00E+05,92.2813036
6,1,2,2,2,3000,3000,1,5,0,6,0,24,6000,23,14,10,898466257.7,92.30566535
5,0,2,2,2,2750,2750,1,3,0,6,2,96,NA,25,16,0.001,550000,92.33506364
4,0,2,2,2,700,700,1.75,3,NA,6,0,96,3300,25,14,0.1,5.00E+05,92.47863248
5,0,3,1,3,1750,1.5,1.5,3,NA,5,0,96,NA,24,24,1,64800,92.53826531
8,0,2,2,2,1750,1750,0.885,3,130,6,0,144,2224,25,24,15,NA,92.57142857
4,0,3,1,3,50000,30,30,3,0,4,0,144,2000,25,12,10,334095.0099,92.60762425
3,0,3,1,3,12500,15,15,3,NA,4,0,24,NA,25,14,0.01,780000,92.70998415
5,0,2,2,2,2750,2750,1,3,0,6,2,96,NA,25,16,0.01,550000,92.74635569
6,1,2,2,2,3000,3000,1,5,0,6,0,48,6000,23,14,0.1,898466257.7,92.76585483
7,0,3,1,3,1250,11.5,11.5,4,0,4,0,24,NA,20,12,20,1600000,92.95302013
5,0,2,2,2,NA,NA,NA,3,0,3,1,96,NA,24,24,0.01,50000,93.03904924
